
2024/12/16 (23:13:25) | ===> btop++ v.1.4.0
2024/12/16 (23:13:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/16 (23:13:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/17 (01:28:25) | ===> btop++ v.1.4.0
2024/12/17 (01:28:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/17 (01:28:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/17 (01:55:54) | ===> btop++ v.1.4.0
2024/12/17 (01:55:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/17 (01:55:54) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/17 (20:46:03) | ===> btop++ v.1.4.0
2024/12/17 (20:46:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/17 (20:46:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/17 (21:17:28) | ===> btop++ v.1.4.0
2024/12/17 (21:17:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/17 (21:17:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/17 (21:34:05) | ===> btop++ v.1.4.0
2024/12/17 (21:34:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/17 (21:34:05) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/19 (22:28:24) | ===> btop++ v.1.4.0
2024/12/19 (22:28:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/19 (22:28:24) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/20 (01:41:56) | ===> btop++ v.1.4.0
2024/12/20 (01:41:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/20 (01:41:56) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/20 (01:55:34) | ===> btop++ v.1.4.0
2024/12/20 (01:55:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/20 (01:55:34) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/01 (16:04:02) | ===> btop++ v.1.4.0
2025/01/01 (16:04:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/01 (16:04:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/01 (18:15:47) | ===> btop++ v.1.4.0
2025/01/01 (18:15:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/01 (18:15:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/02 (01:27:30) | ===> btop++ v.1.4.0
2025/01/02 (01:27:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/02 (01:27:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/02 (21:24:28) | ===> btop++ v.1.4.0
2025/01/02 (21:24:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/02 (21:24:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/06 (06:37:00) | ===> btop++ v.1.4.0
2025/01/06 (06:37:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/06 (06:37:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/06 (15:57:38) | ===> btop++ v.1.4.0
2025/01/06 (15:57:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/06 (15:57:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/07 (23:20:20) | ===> btop++ v.1.4.0
2025/01/07 (23:20:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
